Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,Mr. Passenger_0,male,34.51524859322309,0,0,46781,35.650621424092364,C146,S
0,3,Mr. Passenger_1,male,9.852788003014421,0,0,93388,14.88279803305537,,S
1,2,Mrs. Passenger_2,female,35.47017524604687,0,0,34606,18.41275177740258,,S
0,3,Mr. Passenger_3,male,9.823095436086867,0,0,90180,6.5293171404724,,S
1,3,Mrs. Passenger_4,female,28.61107077590074,0,0,25730,12.923016991125646,,S
1,2,Mr. Passenger_5,male,28.1009764602274,0,0,50533,26.390208186821543,,Q
1,2,Mr. Passenger_6,male,54.956809634974775,0,0,39658,32.23970974782009,,S
1,1,Mr. Passenger_7,male,15.098633665825128,3,0,74522,57.021687932779976,C168,N
1,2,Mrs. Passenger_8,female,10.190758537397521,0,2,95522,22.630340768043972,,Q
0,2,Mrs. Passenger_9,female,20.95351771918059,1,1,33860,29.301700484204254,,S
1,3,Mrs. Passenger_10,female,14.267746029642995,0,0,10819,18.33177632178315,,S
1,3,Mr. Passenger_11,male,,0,0,66657,12.295653155169685,,S
0,2,Mrs. Passenger_12,female,35.891213702845,0,0,78163,30.166956077823933,,S
1,1,Mr. Passenger_13,male,40.8076840060329,0,0,63737,62.58060465128899,C69,S
1,2,Mrs. Passenger_14,female,53.2338578635391,1,1,61317,28.228223703258546,,C
1,3,Mrs. Passenger_15,female,19.686561597883262,1,0,73795,14.538014979104151,,S
0,2,Mr. Passenger_16,male,66.93954322800697,1,2,68847,16.3807094408792,,S
1,2,Mr. Passenger_17,male,57.75059462678369,1,1,93652,21.85308687677095,,S
0,3,Mrs. Passenger_18,female,27.15062479929624,1,0,25940,18.801721712852714,,S
1,1,Mr. Passenger_19,male,0.42,0,0,72335,59.92950349022027,,S
1,3,Mrs. Passenger_20,female,28.836427717615486,1,0,55393,11.127911882547254,,Q
0,3,Mr. Passenger_21,male,,0,0,57851,20.655247773890046,,Q
1,2,Mrs. Passenger_22,female,0.42,0,0,66809,21.902932242757615,,S
1,2,Mrs. Passenger_23,female,31.033646006049185,0,0,81090,22.844192516811706,,S
0,3,Mr. Passenger_24,male,,1,1,88618,6.048947670785,,S
1,1,Mrs. Passenger_25,female,19.00004201770436,0,0,15772,66.83460737449279,C62,S
1,2,Mr. Passenger_26,male,38.7728087696266,0,1,72092,19.752101841269187,,Q
0,3,Mrs. Passenger_27,female,44.07487732178127,0,1,20465,16.109970625499784,,S
0,3,Mr. Passenger_28,male,23.193518849080284,0,0,63439,8.1972438638661,,C
0,2,Mr. Passenger_29,male,33.21271664764369,0,0,36109,30.42913289155626,,C
1,2,Mrs. Passenger_30,female,20.832913860880478,0,0,31262,26.696537606454648,,S
0,2,Mr. Passenger_31,male,18.987522675359457,0,0,79134,29.377975435075598,,Q
1,2,Mrs. Passenger_32,female,,0,0,14785,25.125845194972932,,S
1,2,Mr. Passenger_33,male,,0,0,11979,31.175355940661127,,C
0,2,Mr. Passenger_34,male,22.113899977901212,0,0,24344,28.302931499014253,,S
0,3,Mrs. Passenger_35,female,0.42,1,0,69214,20.32223021162043,,S
1,3,Mrs. Passenger_36,female,38.20098779757896,1,0,30310,17.287412628320606,,C
1,2,Mrs. Passenger_37,female,7.648190614246072,0,0,86587,34.886439701697185,,C
1,3,Mrs. Passenger_38,female,31.70798072527316,0,1,10776,18.75923865717335,,S
1,2,Mr. Passenger_39,male,,1,3,63984,36.94545607795075,,S
1,2,Mrs. Passenger_40,female,29.764386365729123,1,0,86988,,,Q
1,2,Mr. Passenger_41,male,13.343499934779988,0,0,49242,22.86984812844381,,S
0,3,Mr. Passenger_42,male,9.543493347344373,1,0,55233,22.349036024658933,,S
1,2,Mrs. Passenger_43,female,46.386461354818366,0,0,39852,26.637856675212916,,S
0,2,Mr. Passenger_44,male,,0,0,46907,34.701894024951194,,S
1,3,Mr. Passenger_45,male,,0,0,21933,14.665857822334731,,S
0,2,Mrs. Passenger_46,female,,1,0,41063,27.01711776351361,,S
1,3,Mr. Passenger_47,male,29.313967886259874,1,2,19998,14.66227632829434,,S
0,1,Mrs. Passenger_48,female,25.679540659076707,0,0,28602,32.687808677117204,C30,S
0,3,Mrs. Passenger_49,female,16.737132239432846,1,0,97906,16.11037756567567,,N
0,2,Mr. Passenger_50,male,0.42,0,0,40465,24.130925047822394,,C
1,2,Mr. Passenger_51,male,8.747993084539857,0,0,57639,28.13889628105384,,S
1,3,Mr. Passenger_52,male,29.025690905405778,0,1,60674,12.62396009623997,,S
1,2,Mrs. Passenger_53,female,27.546331771842656,0,0,67338,27.9845296380515,,C
1,2,Mr. Passenger_54,male,35.64983822277748,0,0,24319,28.51629173895943,,S
1,1,Mr. Passenger_55,male,28.22638426508844,0,0,35389,56.63304759008281,,S
1,1,Mr. Passenger_56,male,32.231005174703135,0,0,67805,63.76562387671936,C36,S
